Pair,0_-1,0_0,1_0,1_1,2_0,2_1,2_2,3_0,3_1,3_2,3_3,3_4,3_7,3_8,4_0,4_1,4_3,4_4,4_5,4_8,5_1,5_2,5_3,5_4,5_5,5_6,5_7,5_8,6_2,6_3,6_4,6_5,6_6,6_7,7_4,7_5,7_6,8_5,6_8,7_7,7_8,8_3,8_4,8_6,8_7,9_3,9_4,9_5,9_6,10_4,10_5,11_4,4_9,5_9,10_6,10_7,10_8,11_5,6_9,9_7,11_6,12_5,12_6,5_10
Amos-Caroline,4,18,34,181,4,419,58,12,4,15,2,2,5,9,14,27,409,2468,4,361,8,33,1767,24005,21166,286,4143,3823,287,2869,2501,4986,64174,33179,971,3729,6390,5163,1210,257,30,8,3630,668,22,60,17,71,34,24,65,3,0,0,0,0,0,0,0,0,0,0,0,0
Amos-Claude,4,18,34,181,4,419,58,12,4,15,2,2,5,9,14,27,409,2468,4,188,8,33,1767,24005,21289,151,27,20,287,2869,2501,5675,3637,5195,747,4324,1826,6,48,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amos-Donar,4,18,34,181,4,419,58,12,4,15,2,2,5,9,14,27,409,2305,4,603,8,33,1747,23947,21256,1062,3275,281,287,2869,2498,5272,12138,5002,732,4140,1649,315,2481,635,3,0,0,70,0,0,0,575,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amos-Evelin,4,18,34,181,4,419,58,12,4,15,2,2,5,9,14,27,409,2468,4,12211,8,33,1767,24005,21289,152,22,5499,287,2869,2501,5705,4393,69,747,4324,1884,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,82,0,0,0,0,0,0,0,0,0,0
Amos-Franz,4,18,34,181,4,419,58,12,4,15,2,2,5,9,14,27,409,2468,4,188,8,33,1767,24005,21029,3687,215,23,287,2869,2467,4533,3667,1052,633,8847,4551,9314,0,9,0,12,197,92,0,0,152,1269,543,8,920,2,0,0,688,84,52,2,0,0,0,0,0,0
Amos-Frida,4,18,34,181,4,419,58,12,4,15,2,2,5,9,14,27,409,2468,4,188,8,33,1767,24005,21245,152,20,23,287,2869,2501,14506,8160,402,747,4169,7554,67,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amos-Fritz,4,18,34,181,4,419,58,12,4,15,2,2,5,9,14,27,409,2468,4,162,8,33,1767,24005,21283,876,897,182,287,2869,2501,5703,3697,1971,747,4322,1884,6,3,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amos-Gaby,4,18,34,181,4,419,58,12,4,15,2,2,5,9,14,27,409,2468,4,187,8,33,1767,24005,21289,181,3291,218,287,2869,2501,5635,3488,679,747,4275,1745,6,383,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amos-Isabelle,4,18,34,181,4,419,58,12,4,15,2,2,5,9,14,27,409,2468,4,139,8,33,1767,24005,21276,1209,1181,242,287,2869,2501,5699,3652,2630,747,4324,1832,6,100,323,2,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amos-Joanna,4,18,34,181,4,419,58,12,4,15,2,2,5,9,14,27,409,2468,4,186,8,33,1767,24005,21289,152,5647,673,287,2869,2501,5705,4367,1015,747,4324,1884,6,251,46,34,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
